經費規模,專案類型,評估工時,開發工時,難中易,專案起訖時間,專案成效
10-30萬,客製化專案,10,26.5,中,2021/3~2021/4,5/客戶沒有明確訂定結案時間，需求來回討論，故完成時間過長
51-100萬,APP開發,34,56.6,易,2020/11~2021/1,8/於履約期限內完成專案，且後續持續新增模組
10-30萬,客製化專案,10,23.6,中,2020/11~2021/1,9/需求明確，於客戶要求限期內完工
31-50萬,客製化專案,16,51.3,難,2021/1~2021/4,7/需求不明確，測試期間多半在進行需求調整，雖有在履約期限內完工，但比實際評估工時長
51-100萬,客製化專案,52,130.58,難,2021/6~2021/12,5/需求單位需求不明確，且無法與最上層需求方直接溝通，導致雙方討論時數較長，另外工程師能力溝通不足，專案成效較低
10-30萬,客製化專案,6,10.3,中,2020/12~2021/1,9/需求明確，於客戶要求期限內完工
10-30萬,客製化專案,6,15.9,中,2020/12~2021/1,9/需求明確，於客戶要求期限內完工
10萬以內,維護案,8,5.7,易,2020/12~2021/1,9/需求明確，於客戶要求期限內完工
10-30萬,維護案,10,7.1,易,2021/1~2021/8,9/需求明確，於客戶要求期限內完工
10萬以內,維護案,4,0.4,易,2021/1,9/需求明確，於客戶要求期限內完工
51-100萬,維護案,60,85,中,2021/1~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10-30萬,網站開發,14,6.7,易,2021/6~2021/9,9/需求明確，於客戶要求期限內完工
10-30萬,APP開發,10,1,易,2021/6~2021/9,9/需求明確，於客戶要求期限內完工
10-30萬,APP開發,34,10.8,易,2021/6~2021/9,9/需求明確，於客戶要求期限內完工
31-50萬,APP開發,125,2.2,易,2021/6~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10-30萬,客製化專案,0,3.8,易,2021/7~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10-30萬,客製化專案,0,0.2,易,2021/7~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10萬以內,客製化專案,2,0.2,易,2021/7~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10萬以內,客製化專案,6,7.7,中,2020/12~2021/1,9/需求明確，於客戶要求期限內完工(屬長期合作型)
31-50萬,網站開發,20,0.3,中,2020/1~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
10萬以內,APP開發,1,0.8,易,2020/12~2021/1,9/需求明確，於客戶要求期限內完工
51-100萬,APP開發,30,60.2,中,2020/11~2021/3,4/需求不明確，雖於期限內完工，但後期雙方認定的結果不同，無法正式上線
51-100萬,客製化專案,0,0.4,中,2021/11~2021/12,9/需求明確，於客戶要求期限內完工
100萬以上,客製化專案,139,155.15,難,2020/10~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
51-100萬,客製化專案,0,47.9,難,2021/4~2021/12,9/需求明確，於客戶要求期限內完工(屬長期合作型)
51-100萬,客製化專案,29,53.7,中,2020/2~2021/1,9/需求明確，於客戶要求期限內完工(屬長期合作型)
31-50萬,客製化專案,42,56,中,2020/10~2021/2,7/需求不明確，測試期間多半在進行需求調整，雖有在履約期限內完工，但比實際評估工時長
31-50萬,客製化專案,12,10.7,中,2020/11~2021/1,9/需求明確，於客戶要求期限內完工
31-50萬,網站開發,31,4.9,中,2021/10~2021/11,9/需求明確，於客戶要求期限內完工
10-30萬,客製化專案,3,2.8,中,2021/3~2021/4,9/需求明確，於客戶要求期限內完工
31-50萬,客製化專案,1,0.4,中,2020/8~2021/2,9/需求明確，於客戶要求期限內完工
51-100萬,客製化專案,150,0.2,中,2020/7~2021/5,7/需求不明確，測試期間多半在進行需求調整，雖有在履約期限內完工，但比實際評估工時長
10萬以內,網站開發,5,0.8,易,2021/6,9/需求明確，於客戶要求期限內完工
10萬以內,網站開發,3,4.1,易,2021/6,9/需求明確，於客戶要求期限內完工
31-50萬,客製化專案,0,0.7,中,2021/10~2021/12,9/需求明確，於客戶要求期限內完工
10-30萬,網站開發,0,0.7,中,2020/8~2021/1,9/需求明確，於客戶要求期限內完工
51-100萬,客製化專案,0,0.2,中,2020/8~2021/1,9/需求明確，於客戶要求期限內完工
51-100萬,客製化專案,53,79.2,難,2021/3~2021/10,9/需求明確，於客戶要求期限內完工
31-50萬,客製化專案,40,69.8,中,2021/4~2021/10,7/需求不明確，測試期間多半在進行需求調整，雖有在履約期限內完工，但比實際評估工時長
31-50萬,客製化專案,40,31.9,難,2021/4~2021/12,6/需求不明確，測試期間多半在進行需求調整，雙方多次討論但無法達成共識，專案成效較低
10-30萬,客製化專案,12,17.1,易,2021/7~2021/8,7/需求不明確，測試期間多半在進行需求調整，雖有在履約期限內完工，但比實際評估工時長
10-30萬,網站開發,8,5.9,易,2021/8,9/需求明確，於客戶要求期限內完工
31-50萬,客製化專案,64,39.7,中,2021/10~2021/12,9/需求明確，於客戶要求期限內完工
31-50萬,客製化專案,23,0.9,中,2021/10~2022/1,8/需求明確，於客戶要求期限內完工
51-100萬,APP開發,32,3,中,2021/10~2022/5,7/需求方要求設計排版精準，測試期間多半在進行設計上調整，雖有在履約期限內完工，但比實際評估工時長
51-100萬,網站開發,45,2.2,易,2021/12~2022/5,8/需求明確，於客戶要求期限內完工
51-100萬,客製化專案,7,2.2,中,2021/11~2022/6,8/需求明確，於客戶要求期限內完工
